Tanggal Berita,Judul,Penulis Berita,Isi Berita,Kategori,Link Berita
29-Apr-20,"Donasi untuk Layanan Kesehatan, Beyonce Gelontorkan 6 Juta Dollar","Lintang Tribuana,          Jurnalis&CenterDotRabu 29 April 2020 21:00 WIB","  LOS ANGELES - Artis dunia berlomba-lomba mendonasikan dana dan biaya untuk tenaga kesehatan demi memerangi vorus corona yang mewabah salah satunya Beyonce.  Beyonce lewat yayasan amal BeyGOOD bermitra dengan CEO Twitter, Jack Dorsey menyediakan USD6 juta dalam pendanaan untuk kesehatan mental dan layanan kesehatan pribadi   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Baca Juga: Beyonce Donasikan Rp93 Miliar untuk Kesehatan Mental Petugas Medis   ""BeyGOOD Beyonce mengakui beban kesehatan mental dan pribadi yang sangat besar yang diberikan pada pekerja penting selama pandemi Covid-19,"" demikian pernyataan resmi organisasi tersebutdilansri Variety.  Donasi Beyonce nantinya akan disumbangkan ke kota-kota besar dan di berikan kepada par pekerja yang terdampak Vovid-19.  ""Di kota-kota besar kami, orang Afrika-Amerika terdiri dari jumlah pekerja yang tidak proporsional dalam pekerjaan yang sangat diperlukan ini. Dan mereka akan membutuhkan dukungan kesehatan mental dan perawatan kesehatan pribadi, termasuk pengujian dan layanan medis, pasokan makanan dan pengiriman makanan, baik selama dan setelah krisis,"" lanjutnya.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 10   Resmi Bercerai, Tengok Kembali Kebersamaan Vicky Prasetyo Bersama Angel Lelga Vicky Prasetyo saat mengeluarkan ""jurus bango"" untuk mengangkap puteri cantik (Angel Lelga). (Foto: Instagram @vickyprasetyo777)              #Corona  #Beyonce  #Donasi  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/29/33/2206821/donasi-untuk-layanan-kesehatan-beyonce-gelontorkan-6-juta-dollar
29-Apr-20,Cara Rian D'Masiv Isi Waktu di Rumah Selama Pandemi Corona,"Lintang Tribuana,          Jurnalis&CenterDotRabu 29 April 2020 20:20 WIB","  JAKARTA - Ada banyak cara mengisi waktu selama berdiam diri di rumah selama pandemi corona berlangsung. Seperti Rian D'Masiv yang tak segan melakukan aktivitas rumah tangga.  ""Selama di rumah ngurusin anak, mencuci baju, masak dan mendengarkan musik sama anak,"" kata Rian saat live Instagram bersama Okezone, Rabu (29/4/2020).   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Meski demikian, Rian tak kehilangan kebiasaannya sebagai musisi. Ia tetap aktif menulis lagu dan telah merilis lagu terbarunya bersama D'Masiv yang berjudul Bersama Kita Kuat.  Baca Juga: Selain EXO, Rian D'Masiv Akui Juga Suka Lagu Band DAY6   Rian sadar bahwa wabah COVID-19 ini sangat membatasi kegiatan manusia hingga berdampak besar dalam berbagai aspek. Namun ia berpesan kepada masyarakat untuk tetap mengikuti aturan pemerintah, termasuk tinggal di rumah.  ""Tetap semangat, harus mendengarkan imbauan pemerintah. Jangan lupa berpikir positif, yakin semua akan berakhir. Akan ada hidup yang lebih indah,"" pungkasnya.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Ketika Dmasiv Hibur Penumpang KRL Commuter Line Band D'Masiv menghibur penumpang KRL dalam rangka merayakan Hari Pelanggan Nasional yang jatuh tiap tanggal 4 September. Grup band yang digawangi Rian ini menghibur pengguna jasa KRL dengan menyanyikan sejumlah lagu hits mereka. di Dalam KRL. Rian juga mengajakpara pengguna jasa untuk mencintai KRL Commuter Line dengan menjaga ketertiban dan kenyamanan bersama di kreta.              #Rian Dmasiv  #Rian  #Corona  #Di Rumah Aja  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/29/33/2206871/cara-rian-d-masiv-isi-waktu-di-rumah-selama-pandemi-corona
Tidak Ditemukan,Polri: 12.156 Kendaraan Diminta Putar Balik Selama Pelarangan Mudik,"                  Puteranegara Batubara,                Jurnalis&CenterDotRabu 29 April 2020 19:05 WIB","  JAKARTA - Kepala Bagian Penerangan Umum Divisi Humas Polri Kombes Asep Adi Saputra menyebut sampai saat ini sudah 12.156 kendaraan warga yang diputarbalikan menyusul kebijakan pelarang mudik di tengah pandemi Covid-19.  ""Pada hari kelima pelaksanaan Ops Ketupat 2020, sampai dengan hari ini Selasa, 28 April 2020 Korlantas Polri mencatat sebanyak 2.765 dari total 12.156 kendaraan pribadi, kendaraan sewa,  us, travel dan roda dua diminta untuk putar balik,"" kata Asep di Mabes Polri, Jakarta Selatan, Rabu (29/4/2020). googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Baca Juga: Perpanjangan PSBB Bandung Raya Masih Perlu Dievaluasi  Menurut Asep, sanksi itu diberikan lantaran para warga ketahuan hendak melakukan mudik saat terjadinya wabah virus corona. ""Karena ditemukan indikasi para penumpangnya akan melaksakan kegiatan mudik oleh karenanya diimbau untuk kembali kerumah masing-masing,"" ujar Asep Adapun rincian kendaraan yang diminta putar balik pada hari ini yang sebanyak 2.765, antara lain : 1. Polda Metro Jaya sebanyak 886 kendaraan  2. Polda Jawa Barat sebayak 525 kendaraan  3. Polda Jawa Timur sebanyak 773 kendaraan  4. Polda DIY sebanyak 23 kendaraan  5. Polda Banten sebanyak 198 kendaraan  6. Polda Lampung sebanyak 32 kendaraan  7. Polda Jawa Tengah sebanyak 328 kendaraan   (Ari)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				             #Covid-19  #polri  #Corona  #Larangan Mudik  #Mudik Dilarang  #mudik  #Virus Corona    ",Nasional,https://nasional.okezone.com/read/2020/04/29/337/2206837/polri-12-156-kendaraan-diminta-putar-balik-selama-pelarangan-mudik
29-Apr-20,"Jalani Lockdown, Angelina Jolie Belajar Pentingnya Ibu Rumah Tangga","Vania Ika Aldida,          Jurnalis&CenterDotRabu 29 April 2020 18:00 WIB","  LOS ANGELES - Angelina Jolie harus menjalani lockdown di negaranya Amerika Serikat. Selama berada di rumah, Angelina Jolie menyadari arti penting kehadiran seorang ibu bagi anak-anaknya.  Hal tersebut ia ungkapkan belum lama ini lewat majalah TIME. Ia mengungkapkan bagaimana pentingnya peran orangtua untuk anak-anaknya di tengah pandemi corona.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); “Sekarang, di tengah-tengah pandemi ini, saya memikirkan semua ibu dan ayah dengan anak-anak di rumah. Semua berharap mereka dapat melakukan segalanya dengan benar, menjawab semua kebutuhan, dan tetap tenang dan positif. Satu hal yang telah membantu saya adalah untuk mengetahui bahwa itu tidak mungkin,” kata Angelina Jolie.   Baca Juga: Selamat! Chen EXO dan Istri Sambut Kelahiran Anak Pertama Mantan istri Brad Pitt tersebut menyadari bahwa seorang ibu kehadirannya sangat diharapkan oleh anak tanpa pamrih apapun.  ""Sangat menyenangkan mengetahui bahwa anak-anak Anda tidak ingin Anda sempurna. Mereka hanya ingin Anda jujur. Dan melakukan yang terbaik. Bahkan, semakin banyak ruang mereka harus hebat di mana Anda lemah, semakin kuat mereka. Mereka mencintaimu. Mereka ingin membantu Anda. Jadi, pada akhirnya, itu tim yang Anda bangun. Dan di satu sisi, mereka juga membangkitkan Anda dan Anda tumbuh bersama,” paparnya.  “Saya ingat keputusan untuk menjadi orang tua. Itu tidak sulit untuk dicintai. Tidak sulit untuk mendedikasikan diri saya pada seseorang dan sesuatu yang lebih besar dari hidup saya. Yang sulit adalah mengetahui bahwa mulai sekarang aku harus menjadi orang yang memastikan semuanya baik-baik saja. Untuk mengelolanya dan membuatnya berfungsi,” tutur Angelina dalam tulisannya di buletin Orang Tua majalah TIME.  “Saya menyadari bahwa saya menghentikan lamunan saya yang terus-menerus, alih-alih tetap selalu siap untuk menerobos apa yang saya lakukan atau berpikir untuk menjawab suatu kebutuhan. Itu adalah keterampilan baru untuk diperoleh,” tutupnya.                                                      (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 6   Pesona Tato di Punggung dan Lengan Aktris Cantik Angelina Jolie Tampak tato di punggung Angelina Jolie terlihat jelas pada acara British Academy of Film and Television Awards (BAFTA) di London, Inggris, Minggu 18 Februari 2018 waktu setempat. (REUTERS/Peter Nicholls)              #angelina jolie  #Corona  #Lockdown  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/29/33/2206813/jalani-lockdown-angelina-jolie-belajar-pentingnya-ibu-rumah-tangga
29-Apr-20,"Ikut Tes, Celine Evangelista Negatif Covid-19","Adiyoga Priambodo,          Jurnalis&CenterDotRabu 29 April 2020 17:06 WIB","  JAKARTA - Celine Evangelista menjadi salah satu artis yang ikut melakukan tes covid-19 agar mengetahui dirinya ikut tejangkit wabah atau tidak.  Setelah melakukan tes. istri Stefan William tersebut lantas mengunggah hasilnya lewat media sosial. Celine dinyatakan negatif covid-19. Tampak hasilnya 1 strip yang menandakan negatif.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Today i test negative,"" kata Celine.  Baca Juga: Hot Gosip: Salmafina Tanggapi Postingan Sunan Kalijaga Hingga PH Suami Bunga Zainal Tutup   Celine pun cukup berbahagia lantaran hasil tesnya sesuai dengan yang diharapkan.  Ia pun mgnhimbau kepada masyarakat agar tetap menjaga gaya hidup bersih dan tetap menjaga jarak agar persebaran virus bisa ditekan.  ""Stay save guys,"" kata Celine.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 7   Potret Bayi Koa, Putra Keempat Celine Evangelista Bayi Koa saat tertidur lelap. (Foto: Instagram @celine_evangelista)               #Celine Evangelista  #Rapid Tes  #Corona  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/29/33/2206792/ikut-tes-celine-evangelista-negatif-covid-19
 1 Mei 2020,"Lewat Lagu, Rizky Febian Ajak Masyarakat untuk Berdonasi","Adiyoga Priambodo,          Jurnalis&CenterDotJum'at 01 Mei 2020 18:53 WIB","  JAKARTA - Rizky Febian turut memberikan andil dalam memerangi pandemi virus corona di Indonesia. Salah satu caranya adalah Rizky Febian merilis single terbaru berjudul Melawan Demi Dunia.  Putra Sule tersebut mengungkapkan bila lagu tersebut ia persembahkan pada para pekerja yang terdampak pandemi agar selalu semangat dan tetap gigih menjalani kehidupan.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Saya prihatin dengan banyak orang yang terdampak dari pandemi virus corona ini, di mana banyak dirasakan terutama pekerja harian kru panggung yang tidak ada penghasilan dan pekerja lain,"" ungkap Iky.   Baca Juga: Alasan Rizky Febian Serahkan Honor Manggung pada Ibunda Penyanyi yang akrab disapa Iky itu pun turut menyelipkan kampanye baru melalui Melawan Demi Dunia. Nantinya donasi tersebut akan ia persembahkan bagi yang membutuhkan.  ""Donasi ini nanti akan berupa uang tunai yang akan dijadikan modal untuk memulai usaha baru berskala kecil yang bisa dilakukan untuk sementara waktu selama pandemi ini berlangsung,"" imbuhnya.  Rizky Febian juga mengajak sesama musisi untuk ikut live streaming bersama melalui akun Instagram pribadinya Harapannya, dengan cara ini, masyarakat lebih tertarik untuk berdonasi.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Duet Rizky Febian & Pemenang JJF Star di Panggung Java Jazz 2020 Penyanyi Rizky Febian (kanan) berduet bersama pemenang program BNI Java Jazz Festival Star Yulita membawakan lagu ""Indah Pada Waktunya"" dalam Jakarta International BNI Java Jazz Festival 2020 di JIExpo Kemayoran, Jakarta, Jumat 28 Februari 2020.              #Rizky febian  #Lagu  #Corona  #Artis Indonesia    ",Musik,https://celebrity.okezone.com/read/2020/05/01/205/2207886/lewat-lagu-rizky-febian-ajak-masyarakat-untuk-berdonasi
 1 Mei 2020,"Perangi Corona, Slank Ciptakan Lagu untuk Semangati Driver Ojol","Adiyoga Priambodo,          Jurnalis&CenterDotJum'at 01 Mei 2020 16:03 WIB","  JAKARTA - Slank tidak tinggal diam ketika pandemi corona membuat banyak masyarakat merasakan dampak negatifnya, salah satunya para driver ojol.  Melihat situasi tersebut, Slank yang diperkuat Kaka, Bimbim, Ivan, Abdee dan Ridho pun tergerak untuk berbuat sesuatu.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Mereka pun menciptakan lagu khusus untuk para driver ojol agar menumbuhkan semangat serta keyakinan menghadapi situasi sulit seperti saat ini.  Baca Juga: Slank Ajak Penggemar Berdonasi untuk Pedagang Kaki Lima di Tengah Pandemi Corona   ""Kita mau buat lagu juga sih, lagi corat-coret juga nih. Mau bikin single tentang mereka (ojek online),"" kata Bimbim dalam telekonfrensi pers, Rabu (29/4/2020).  Menurut Slank, lagu bisa menumbuhkan semangat serta motivasi tersendiri bagi para pendengarnya. hal ini lah yang membuat Slank yakin untuk menyemangati masyarakat terdampak covid-19.  ""Ya buat membanggakan mereka dan yakinkan mereka di musibah ini yang bisa kita jaga harapan. Jadi semoga harapan mereka itu tetap ada dan terus semangat,"" lanjutnya.  ""Kita rencana seperti itu (buat lagu) tapi tunggu tanggal mainnya. Tadi Bimbim sempet mention kan,"" kata Kaka.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Aksi Panggung Slank di Mega Konser Akhir Cinta SI Doel Penampilan grup musik Slank pada Mega Konser Akhir Kisah Cinta Si Doel di Jakarta, Jumat 17 Januari 2020.              #Slank  #lagu baru  #Corona  #Artis Indonesia    ",Musik,https://celebrity.okezone.com/read/2020/05/01/205/2207818/perangi-corona-slank-ciptakan-lagu-untuk-semangati-driver-ojol
 1 Mei 2020,"Pabrik Sampoerna Ditutup Imbas Terpapar Corona, Bagaimana Gaji Karyawan?","Taufik Fajar,          Jurnalis&CenterDotJum'at 01 Mei 2020 14:32 WIB","  JAKARTA - Dua karyawan Pabrik rokok PT HM Sampoerna Tbk (HMSP) meninggal karena virus Corona atau Covid-19. Hal ini menyebabkan 98 pekerjanya positif terindikasi virus tersebut.  Hal ini membuat perusahaan tersebut melakukan penghentian sementara kegiatan produksi di pabrik Rungkut 2. Di mana telah berlaku sejak tanggal 27 April 2020 sampai dengan waktu yang ditentukan kemudian. googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); });    Baca juga: Sampoerna Tutup Pabrik di Jatim Imbas 2 Pekerja Meninggal karena Covid-19 Namun bagaimana nasib para pekerja?  Direktur PT HM Sampoerna Tbk Elvira Lianita mengatakan bahwa pihaknya akan melakukan tanggung jawab sosial terhadap komunitas.  ""Antara lain dengan memberikan cuti dan tetap menerima gaji seperti biasa bagi: karyawan yang terdampak; Karyawan yang perlu melakukan karantina mandiri; dan Karyawan yang perlu merawat anggota keluarga mereka yang terdampak,"" ujarnya dalam keterangan tertulis, Jakarta, Jumat (1/5/2020).    Baca juga: Rapid Test, 98 Karyawan Sampoerna Positif Terindikasi Corona Dirinya mengatakan, prioritas Sampoerna saat ini adalah memastikan keselamatan dan kesehatan para karyawan dengan menerapkan protokol kesehatan. Salah satunya seperti anjuran pemerintah, serta terus berkoordinasi dengan Pemerintah dan Gugus Tugas di tingkat Kota dan Provinsiuntuk mencegah penyebaran.  ""Selain  mematuhi  semua  peraturan  yang  berlaku  dan  menjalankan  protokol  kesehatan,  Sampoerna  memastikan bahwa kualitas produk merupakan prioritas perusahaan,"" ujarnya.                                                    (rzy)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				           #Corona  #Covid-19  #Virus Corona  #Rokok  #PT HM Sampoerna Tbk (HMSP)  #Industri Rokok        Loading...     ",Sektor Riil,https://economy.okezone.com/read/2020/05/01/320/2207751/pabrik-sampoerna-ditutup-imbas-terpapar-corona-bagaimana-gaji-karyawan
Tidak Ditemukan,"Tips Bikin Senang Suami ala Zaskia Adya Mecca, Dandan di Rumah","Lintang Tribuana,          Jurnalis&CenterDotRabu 29 April 2020 23:01 WIB","  JAKARTA - Selama masa di rumah aja atau PSBB, Zaskia Adya Mecca rupanya punya tips menarik pada para istri di Indonesia. Dalam unggahannya, Zaskia mengungkapkan bahwa selama berada di rumah ia tetap tampil rapih.  ""Yang suka liat Ig story ku atau pas siapa video call selama ku lock down pasti aja pada komen.. “Iaa, ko rapi amat bajunya?! Dandan ya?! Mau kemanaa?!” “Ga kemana2 lahh dirumah aja” “Tapi ko lengkap eyeliner-mascara-lipstick sampe alis?!”,"" tulis Zaskia Adya Mecca.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Seandainya pada tau tiap abis mandi, ku pake baju rapi plus parfuman juga apa akan lebih pada bingung ya?! Iya... setiap hariii selama #dirumahaja,"" sambungnya.  Zaskia lantas mengungkapkan alasannya tetap tampil cantik selama berada di rumah. Justru ia menilai bahwa sebaiknya istri tetap berdandan di depan suaminya.   Baca Juga: Injakkan Kaki di Supermarket, Zaskia Adya Mecca Mengaku Deg-degan ""Ngapain? Kenapa? Rajin amat sih?!? Bukannya sunnah kita sebagai istri itu dandan, wangi, rapih justru buat suami ya? ?? disitu yang ada pahalanya... nah lockdown gini kan suami dirumah terus, 24jam setiap hari loh... malah ini momentnya kita berusaha tampil menarik! Cantik, wangi, bersih juga rapih..,"" lanjutnya lagi.  ""malah daster, baju rumah bener2 kepake pas mau tidur aja.. bangun tidur, mandi dan rapih lagi wajib aku mah.. mascara, eyeliner biasa tahan sebulan lebih, ini da mau abis aja baru sebulan ????,"" tulis Zaskia Addya Mecca lagi.  Zaskia juga mengajak para istri dan ibu-ibu agar tetap berdandan rapih di rumah, karena berpenampilan cantik di depan suami juga merupakan sunnah Rasul.  ""Jadi buibu jangan kebalik, suami dapet dasteran ama alis tipis, rambut sekenanya aja... mandi sehari sekali, parfum ga dipake karna dirumah doang ?? mulai ntar pagi dibalik konsepnya ???? tetep cantik, wangi dan enak dipandang pas dirumah... tapi jgn lupa pahamin dulu, suami senengnya kita tampil gimana ?? met dandaaaan hahahahhaa,"" ajak Zaskia Adya Mecca.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 10   Potret Kebersamaan Zaskia Adya Mecca dengan Jagoan Kecilnya Zaskia Adya Mecca bersama putranya saat melihat buku. (Foto: Instagram @zaskiadyamecca)              #Zaskia Adya Mecca  #Corona  #PSBB  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/29/33/2206810/tips-bikin-senang-suami-ala-zaskia-adya-mecca-dandan-di-rumah
29-Apr-20,"Donasi untuk Layanan Kesehatan, Beyonce Gelontorkan 6 Juta Dollar","Lintang Tribuana,          Jurnalis&CenterDotRabu 29 April 2020 21:00 WIB","  LOS ANGELES - Artis dunia berlomba-lomba mendonasikan dana dan biaya untuk tenaga kesehatan demi memerangi vorus corona yang mewabah salah satunya Beyonce.  Beyonce lewat yayasan amal BeyGOOD bermitra dengan CEO Twitter, Jack Dorsey menyediakan USD6 juta dalam pendanaan untuk kesehatan mental dan layanan kesehatan pribadi   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Baca Juga: Beyonce Donasikan Rp93 Miliar untuk Kesehatan Mental Petugas Medis   ""BeyGOOD Beyonce mengakui beban kesehatan mental dan pribadi yang sangat besar yang diberikan pada pekerja penting selama pandemi Covid-19,"" demikian pernyataan resmi organisasi tersebutdilansri Variety.  Donasi Beyonce nantinya akan disumbangkan ke kota-kota besar dan di berikan kepada par pekerja yang terdampak Vovid-19.  ""Di kota-kota besar kami, orang Afrika-Amerika terdiri dari jumlah pekerja yang tidak proporsional dalam pekerjaan yang sangat diperlukan ini. Dan mereka akan membutuhkan dukungan kesehatan mental dan perawatan kesehatan pribadi, termasuk pengujian dan layanan medis, pasokan makanan dan pengiriman makanan, baik selama dan setelah krisis,"" lanjutnya.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 10   Resmi Bercerai, Tengok Kembali Kebersamaan Vicky Prasetyo Bersama Angel Lelga Vicky Prasetyo saat mengeluarkan ""jurus bango"" untuk mengangkap puteri cantik (Angel Lelga). (Foto: Instagram @vickyprasetyo777)              #Corona  #Beyonce  #Donasi  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/29/33/2206821/donasi-untuk-layanan-kesehatan-beyonce-gelontorkan-6-juta-dollar
29-Apr-20,Cara Rian D'Masiv Isi Waktu di Rumah Selama Pandemi Corona,"Lintang Tribuana,          Jurnalis&CenterDotRabu 29 April 2020 20:20 WIB","  JAKARTA - Ada banyak cara mengisi waktu selama berdiam diri di rumah selama pandemi corona berlangsung. Seperti Rian D'Masiv yang tak segan melakukan aktivitas rumah tangga.  ""Selama di rumah ngurusin anak, mencuci baju, masak dan mendengarkan musik sama anak,"" kata Rian saat live Instagram bersama Okezone, Rabu (29/4/2020).   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Meski demikian, Rian tak kehilangan kebiasaannya sebagai musisi. Ia tetap aktif menulis lagu dan telah merilis lagu terbarunya bersama D'Masiv yang berjudul Bersama Kita Kuat.  Baca Juga: Selain EXO, Rian D'Masiv Akui Juga Suka Lagu Band DAY6   Rian sadar bahwa wabah COVID-19 ini sangat membatasi kegiatan manusia hingga berdampak besar dalam berbagai aspek. Namun ia berpesan kepada masyarakat untuk tetap mengikuti aturan pemerintah, termasuk tinggal di rumah.  ""Tetap semangat, harus mendengarkan imbauan pemerintah. Jangan lupa berpikir positif, yakin semua akan berakhir. Akan ada hidup yang lebih indah,"" pungkasnya.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Ketika Dmasiv Hibur Penumpang KRL Commuter Line Band D'Masiv menghibur penumpang KRL dalam rangka merayakan Hari Pelanggan Nasional yang jatuh tiap tanggal 4 September. Grup band yang digawangi Rian ini menghibur pengguna jasa KRL dengan menyanyikan sejumlah lagu hits mereka. di Dalam KRL. Rian juga mengajakpara pengguna jasa untuk mencintai KRL Commuter Line dengan menjaga ketertiban dan kenyamanan bersama di kreta.              #Rian Dmasiv  #Rian  #Corona  #Di Rumah Aja  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/29/33/2206871/cara-rian-d-masiv-isi-waktu-di-rumah-selama-pandemi-corona
29-Apr-20,Polri: 12.156 Kendaraan Diminta Putar Balik Selama Pelarangan Mudik,"                  Puteranegara Batubara,                Jurnalis&CenterDotRabu 29 April 2020 19:05 WIB","  JAKARTA - Kepala Bagian Penerangan Umum Divisi Humas Polri Kombes Asep Adi Saputra menyebut sampai saat ini sudah 12.156 kendaraan warga yang diputarbalikan menyusul kebijakan pelarang mudik di tengah pandemi Covid-19.  ""Pada hari kelima pelaksanaan Ops Ketupat 2020, sampai dengan hari ini Selasa, 28 April 2020 Korlantas Polri mencatat sebanyak 2.765 dari total 12.156 kendaraan pribadi, kendaraan sewa,  us, travel dan roda dua diminta untuk putar balik,"" kata Asep di Mabes Polri, Jakarta Selatan, Rabu (29/4/2020). googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Baca Juga: Perpanjangan PSBB Bandung Raya Masih Perlu Dievaluasi  Menurut Asep, sanksi itu diberikan lantaran para warga ketahuan hendak melakukan mudik saat terjadinya wabah virus corona. ""Karena ditemukan indikasi para penumpangnya akan melaksakan kegiatan mudik oleh karenanya diimbau untuk kembali kerumah masing-masing,"" ujar Asep Adapun rincian kendaraan yang diminta putar balik pada hari ini yang sebanyak 2.765, antara lain : 1. Polda Metro Jaya sebanyak 886 kendaraan  2. Polda Jawa Barat sebayak 525 kendaraan  3. Polda Jawa Timur sebanyak 773 kendaraan  4. Polda DIY sebanyak 23 kendaraan  5. Polda Banten sebanyak 198 kendaraan  6. Polda Lampung sebanyak 32 kendaraan  7. Polda Jawa Tengah sebanyak 328 kendaraan   (Ari)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				             #Covid-19  #polri  #Corona  #Larangan Mudik  #Mudik Dilarang  #mudik  #Virus Corona    ",Nasional,https://nasional.okezone.com/read/2020/04/29/337/2206837/polri-12-156-kendaraan-diminta-putar-balik-selama-pelarangan-mudik
